price,type,postalcode,city,url,floorsize,bedrooms,bathrooms,seller
"$1,749,000",House for sale,92128,San Diego,https://www.zillow.com/homedetails/18770-Polvera-Dr-San-Diego-CA-92128/16735177_zpid/,"5,257",6 bds,6 ba,"<div class=""list-card-truncate"">Premier Agent Network</div>"
"$899,900",Condo for sale,92109,San Diego,https://www.zillow.com/homedetails/4767-Ocean-Blvd-San-Diego-CA-92109/16909276_zpid/,802,1 bd,1 ba,"<div class=""list-card-truncate"">Coldwell Banker Realty</div>"
"$499,000",Condo for sale,92104,San Diego,https://www.zillow.com/homedetails/4081-Kansas-St-UNIT-8-San-Diego-CA-92104/16957301_zpid/,748,2 bds,2 ba,"<div class=""list-card-truncate"">Compass</div>"
"$749,000",House for sale,92111,San Diego,https://www.zillow.com/homedetails/6738-Salizar-St-San-Diego-CA-92111/16915358_zpid/,"1,590",4 bds,2 ba,"<div class=""list-card-truncate"">Tobin Assoc. And Realtors, Inc</div>"
"$1,325,000",House for sale,92130,San Diego,https://www.zillow.com/homedetails/4615-Vereda-Luz-Del-Sol-San-Diego-CA-92130/52511750_zpid/,"2,683",4 bds,3 ba,"<div class=""list-card-truncate"">Compass</div>"
"$419,000",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/988-G-St-UNIT-27-San-Diego-CA-92101/67712779_zpid/,650,1 bd,1 ba,"<div class=""list-card-truncate"">Century 21 Award</div>"
"$325,000",Condo for sale,92120,San Diego,https://www.zillow.com/homedetails/5432-Adobe-Falls-Rd-UNIT-12-San-Diego-CA-92120/16988494_zpid/,884,2 bds,2 ba,"<div class=""list-card-truncate"">Active Realty</div>"
"$675,000",House for sale,92115,San Diego,https://www.zillow.com/homedetails/5707-Spartan-Dr-San-Diego-CA-92115/17005377_zpid/,"1,166",3 bds,1 ba,"<div class=""list-card-truncate"">Keller Williams Realty</div>"
"$585,000",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/350-K-St-UNIT-417-San-Diego-CA-92101/54907207_zpid/,933,2 bds,2 ba,"<div class=""list-card-truncate"">Coldwell Banker West</div>"
"$975,000",House for sale,92109,San Diego,https://www.zillow.com/homedetails/975-Archer-St-San-Diego-CA-92109/16907967_zpid/,"1,014",2 bds,2 ba,"<div class=""list-card-truncate"">Acre Investment Real Estate</div>"
"$1,345,000",Multi-family home for sale,92107,San Diego,https://www.zillow.com/homedetails/4754-56-Saratoga-Ave-San-Diego-CA-92107/16961757_zpid/,"1,886",6 bds,3 ba,"<div class=""list-card-truncate"">Berkshire Hathaway HomeService</div>"
"$185,000",Condo for sale,92105,San Diego,https://www.zillow.com/homedetails/1605-Pentecost-Way-UNIT-5-San-Diego-CA-92105/17081028_zpid/,668,1 bd,1 ba,"<div class=""list-card-truncate"">Utopia Real Estate</div>"
"$1,449,000",House for sale,92014,Del Mar,https://www.zillow.com/homedetails/14251-Minorca-Cv-Del-Mar-CA-92014/16764743_zpid/,"1,824",3 bds,2 ba,"<div class=""list-card-truncate"">Del Mar Realty Assoc.,Inc</div>"
"$1,195,000",For sale by owner,92130,San Diego,https://www.zillow.com/homedetails/12455-San-Bruno-Cv-San-Diego-CA-92130/16775970_zpid/,"1,836",3 bds,4 ba,
"$8,495,000",House for sale,92130,San Diego,https://www.zillow.com/homedetails/4130-Rancho-Las-Brisas-Trl-San-Diego-CA-92130/51079153_zpid/,"11,758",7 bds,8 ba,"<div class=""list-card-truncate"">Compass</div>"
"$1,220,000",House for sale,92106,San Diego,https://www.zillow.com/homedetails/819-Tarento-Dr-San-Diego-CA-92106/17064765_zpid/,"2,300",4 bds,3 ba,"<div class=""list-card-truncate"">Sakasegawa Commercial Consult</div>"
"$409,900",Condo for sale,92126,San Diego,https://www.zillow.com/homedetails/11156-Kelowna-Rd-UNIT-56-San-Diego-CA-92126/16781730_zpid/,964,2 bds,2 ba,"<div class=""list-card-truncate"">RC Realty of San Diego</div>"
"$295,000",Condo for sale,92110,San Diego,https://www.zillow.com/homedetails/2628-Worden-St-UNIT-136-San-Diego-CA-92110/16965618_zpid/,668,1 bd,1 ba,"<div class=""list-card-truncate"">Utopia Real Estate</div>"
"$270,000",Condo for sale,92102,San Diego,https://www.zillow.com/homedetails/241-50th-St-APT-44-San-Diego-CA-92102/61240518_zpid/,792,3 bds,2 ba,"<div class=""list-card-truncate"">Coronado Island Realty</div>"
"$275,000",Condo for sale,92119,San Diego,https://www.zillow.com/homedetails/6924-Hyde-Park-Dr-UNIT-113-San-Diego-CA-92119/17197217_zpid/,688,1 bd,1 ba,"<div class=""list-card-truncate"">Carlsbad CA</div>"
"$470,000",Condo for sale,92115,San Diego,https://www.zillow.com/homedetails/5197-68th-St-San-Diego-CA-92115/16998202_zpid/,"1,421",2 bds,2 ba,"<div class=""list-card-truncate"">Active Realty</div>"
"$999,000",House for sale,92124,San Diego,https://www.zillow.com/homedetails/10805-Corte-Playa-Majorca-San-Diego-CA-92124/52514741_zpid/,"2,230",4 bds,3 ba,"<div class=""list-card-truncate"">Coldwell Banker West</div>"
"$1,200,000",House for sale,92106,San Diego,https://www.zillow.com/homedetails/2883-Farragut-Rd-San-Diego-CA-92106/61240029_zpid/,"2,305",3 bds,3 ba,"<div class=""list-card-truncate"">Yarbrough Group</div>"
"$739,000",House for sale,92128,San Diego,https://www.zillow.com/homedetails/11630-Caminito-Corriente-San-Diego-CA-92128/16796894_zpid/,"1,619",3 bds,2 ba,"<div class=""list-card-truncate"">Redfin Corporation</div>"
"$374,900",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/101-Market-St-UNIT-102-San-Diego-CA-92101/65398739_zpid/,695,1 bd,1 ba,"<div class=""list-card-truncate"">Compass</div>"
"$849,000",House for sale,92126,San Diego,https://www.zillow.com/homedetails/11040-Polaris-Dr-San-Diego-CA-92126/16818204_zpid/,"2,132",5 bds,3 ba,"<div class=""list-card-truncate"">Redfin Corporation</div>"
"$1,799,999",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/230-W-Laurel-St-UNIT-1005-San-Diego-CA-92101/17065978_zpid/,"2,850",3 bds,3 ba,"<div class=""list-card-truncate"">Reef Point Realty, Inc</div>"
